Year,Team1,Team2,Winner,WinnerPlayedLastGameAtHome,SameCountry,ScoreDiffFirstMatch,ScoreDiffSecondMatch,ScoreDiff,WinningType,DecidedPenalty,DecidedGoalAwayRule,Phase,Competition
2022,Atlético Mineiro,Palmeiras,2,True,True,0,0,0,PENA,True,False,Quarters,Libertadores
2021,Olimpia,Flamengo,2,True,False,-3,-4,-7,NORM,False,False,Quarters,Libertadores
2021,River Plate,Atlético Mineiro,2,True,False,-1,-3,-4,NORM,False,False,Quarters,Libertadores
2021,São Paulo,Palmeiras,2,True,True,0,-3,-3,NORM,False,False,Quarters,Libertadores
2020,Grêmio,Santos,2,True,True,0,-3,-3,NORM,False,False,Quarters,Libertadores
2020,River Plate,Nacional,1,False,False,2,4,6,NORM,False,False,Quarters,Libertadores
2020,Libertad,Palmeiras,2,True,False,0,-3,-3,NORM,False,False,Quarters,Libertadores
2020,Racing,Boca Juniors,2,True,True,1,-2,-1,NORM,False,False,Quarters,Libertadores
2019,River Plate,Cerro Porteño,1,False,False,2,0,2,NORM,False,False,Quarters,Libertadores
2019,Grêmio,Palmeiras,1,False,True,-1,1,0,GAAT,False,True,Quarters,Libertadores
2019,Flamengo,Internacional,1,False,True,2,0,2,NORM,False,False,Quarters,Libertadores
2019,LDU Quito,Boca Juniors,2,True,False,-3,0,-3,NORM,False,False,Quarters,Libertadores
2018,Independiente,River Plate,2,True,True,0,-2,-2,NORM,False,False,Quarters,Libertadores
2018,Colo-Colo,Palmeiras,2,True,False,-2,-2,-4,NORM,False,False,Quarters,Libertadores
2018,Boca Juniors,Cruzeiro,1,False,False,2,0,2,NORM,False,False,Quarters,Libertadores
2018,Atlético Tucumán,Grêmio,2,True,False,-2,-4,-6,NORM,False,False,Quarters,Libertadores
2017,Jorge Wilstermann,River Plate,2,True,False,3,-8,-5,NORM,False,False,Quarters,Libertadores
2017,Botafogo,Grêmio,2,True,True,0,-1,-1,NORM,False,False,Quarters,Libertadores
2017,San Lorenzo,Lanús,2,True,True,2,-2,0,PENA,True,False,Quarters,Libertadores
2016,Rosario Central,Atlético Nacional,2,True,False,1,-2,-1,NORM,False,False,Quarters,Libertadores
2016,Independiente del Valle,UNAM,1,False,False,1,-1,0,PENA,True,False,Quarters,Libertadores
2016,Nacional,Boca Juniors,2,True,False,0,0,0,PENA,True,False,Quarters,Libertadores
2016,São Paulo,Atlético Mineiro,1,False,True,1,-1,0,GAAT,False,True,Quarters,Libertadores
2015,River Plate,Cruzeiro,1,False,False,-1,3,2,NORM,False,False,Quarters,Libertadores
2015,Emelec,UANL,2,True,False,1,-2,-1,NORM,False,False,Quarters,Libertadores
2015,Santa Fe,Internacional,2,True,False,1,-2,-1,NORM,False,False,Quarters,Libertadores
2015,Guaraní,Racing,1,False,False,1,0,1,NORM,False,False,Quarters,Libertadores
2014,Nacional,Arsenal,1,False,False,1,0,1,NORM,False,False,Quarters,Libertadores
2014,San Lorenzo,Cruzeiro,1,False,False,1,0,1,NORM,False,False,Quarters,Libertadores
2014,Lanús,Bolívar,2,True,False,0,-1,-1,NORM,False,False,Quarters,Libertadores
2014,Atlético Nacional,Defensor Sporting,2,True,False,-2,-1,-3,NORM,False,False,Quarters,Libertadores
2013,Tijuana,Atlético Mineiro,2,True,False,0,0,0,GAAT,False,True,Quarters,Libertadores
2013,Real Garcilaso,Santa Fe,2,True,False,-2,-2,-4,NORM,False,False,Quarters,Libertadores
2013,Fluminense,Olimpia,2,True,False,0,-1,-1,NORM,False,False,Quarters,Libertadores
2013,Boca Juniors,Newell's Old Boys,1,False,True,0,0,0,PENA,True,False,Quarters,Libertadores
2012,Fluminense,Boca Juniors,2,False,False,-1,0,-1,NORM,False,False,Quarters,Libertadores
2012,Corinthians,Vasco da Gama,1,True,True,0,1,1,NORM,False,False,Quarters,Libertadores
2012,Santos,Vélez Sársfield,1,True,False,-1,1,0,PENA,True,False,Quarters,Libertadores
2012,Universidad de Chile,Libertad,1,True,False,0,0,0,PENA,True,False,Quarters,Libertadores
2022,Athletico Paranaense,Palmeiras,1,False,True,1,0,1,NORM,False,False,Semi,Libertadores
2022,Vélez Sarsfield,Flamengo,2,True,False,-4,-1,-5,NORM,False,False,Semi,Libertadores
2021,Palmeiras,Atlético Mineiro,1,False,True,0,0,0,GAAT,False,True,Semi,Libertadores
2020,Boca Juniors,Santos,2,True,False,0,-3,-3,NORM,False,False,Semi,Libertadores
2020,River Plate,Palmeiras,2,True,False,-3,2,-1,NORM,False,False,Semi,Libertadores
2019,River Plate,Boca Juniors,1,False,True,2,-1,1,NORM,False,False,Semi,Libertadores
2019,Grêmio,Flamengo,2,True,True,0,-5,-5,NORM,False,False,Semi,Libertadores
2018,River Plate,Grêmio,1,False,False,-1,1,0,GAAT,False,True,Semi,Libertadores
2018,Boca Juniors,Palmeiras,1,False,False,2,0,2,NORM,False,False,Semi,Libertadores
2017,River Plate,Lanús,2,True,True,1,-2,-1,NORM,False,False,Semi,Libertadores
2016,São Paulo,Atlético Nacional,2,True,False,-2,-1,-3,NORM,False,False,Semi,Libertadores
2016,Independiente del Valle,Boca Juniors,1,False,False,1,1,2,NORM,False,False,Semi,Libertadores
2015,River Plate,Guaraní,1,False,False,2,0,2,NORM,False,False,Semi,Libertadores
2015,Internacional,UANL,2,True,False,1,-2,-1,NORM,False,False,Semi,Libertadores
2014,Nacional,Defensor Sporting,1,False,True,2,-1,1,NORM,False,False,Semi,Libertadores
2014,San Lorenzo,Bolívar,1,False,False,5,-1,4,NORM,False,False,Semi,Libertadores
2013,Newell's Old Boys,Atlético Mineiro,2,True,False,2,-2,0,PENA,True,False,Semi,Libertadores
2013,Olimpia,Santa Fe,1,False,False,2,-1,1,NORM,False,False,Semi,Libertadores
2012,Corinthians,Santos,1,True,True,1,0,1,NORM,False,False,Semi,Libertadores
2012,Universidad de Chile,Boca Juniors,2,False,False,-2,0,-2,NORM,False,False,Semi,Libertadores
